<http://data.ehri-project.eu/vocabularies/ehri-terms/1055>	Statistics
<http://data.ehri-project.eu/vocabularies/ehri-terms/203>	Emigration
<http://data.ehri-project.eu/vocabularies/ehri-terms/374>	Mischlinge
<http://data.ehri-project.eu/vocabularies/ehri-terms/488>	Arbeitseinsatz
<http://data.ehri-project.eu/vocabularies/ehri-terms/670>	Sinti and Roma
<http://data.ehri-project.eu/vocabularies/ehri-terms/724>	Religion and faith
<http://data.ehri-project.eu/vocabularies/ehri-terms/731>	Clergy
<http://data.ehri-project.eu/vocabularies/ehri-terms/819>	Families
<http://data.ehri-project.eu/vocabularies/ehri-terms/825>	Women
<http://data.ehri-project.eu/vocabularies/ehri-terms/852>	Rumours
<http://data.ehri-project.eu/vocabularies/ehri-terms/918>	Economics
