<http://data.ehri-project.eu/vocabularies/ehri-terms/1134>	Schools
<http://data.ehri-project.eu/vocabularies/ehri-terms/193>	Bystanders
<http://data.ehri-project.eu/vocabularies/ehri-terms/485>	Kapos
<http://data.ehri-project.eu/vocabularies/ehri-terms/488>	Arbeitseinsatz
<http://data.ehri-project.eu/vocabularies/ehri-terms/518>	Deportations
<http://data.ehri-project.eu/vocabularies/ehri-terms/558>	Jewish forced labourers
<http://data.ehri-project.eu/vocabularies/ehri-terms/573>	Liberation
<http://data.ehri-project.eu/vocabularies/ehri-terms/598>	Arrests
<http://data.ehri-project.eu/vocabularies/ehri-terms/829>	Fear
<http://data.ehri-project.eu/vocabularies/ehri-terms/940>	Trains
