<http://data.ehri-project.eu/vocabularies/ehri-terms/117>	Jewish collaborators
<http://data.ehri-project.eu/vocabularies/ehri-terms/195>	Collaboration
<http://data.ehri-project.eu/vocabularies/ehri-terms/223>	Collaborators
<http://data.ehri-project.eu/vocabularies/ehri-terms/511>	Prisoners of war
<http://data.ehri-project.eu/vocabularies/ehri-terms/512>	Jewish POWs
<http://data.ehri-project.eu/vocabularies/ehri-terms/518>	Deportations
<http://data.ehri-project.eu/vocabularies/ehri-terms/545>	Ghettos
<http://data.ehri-project.eu/vocabularies/ehri-terms/546>	Ghetto life
<http://data.ehri-project.eu/vocabularies/ehri-terms/556>	Forced labour
<http://data.ehri-project.eu/vocabularies/ehri-terms/557>	Forced labourers
<http://data.ehri-project.eu/vocabularies/ehri-terms/558>	Jewish forced labourers
<http://data.ehri-project.eu/vocabularies/ehri-terms/566>	Ordnungsdienst
<http://data.ehri-project.eu/vocabularies/ehri-terms/579>	Judenrat
